Year,Rank_Group,MovieTitle,Date,Author,Title,Link,Description
2024,BOTTOM_10,극장총집편 봇치 더 록! 전편,,,직접입력,#,
2024,BOTTOM_10,극장총집편 봇치 더 록! 전편,,,직접입력,#,
2024,BOTTOM_10,극장총집편 봇치 더 록! 전편,,,직접입력,#,
2024,BOTTOM_10,퍼스트레이디,,,직접입력,#,
2024,BOTTOM_10,퍼스트레이디,,,직접입력,#,
2024,BOTTOM_10,퍼스트레이디,,,직접입력,#,
2020,TOP_10,남산의 부장들,,,직접입력,#,
2020,TOP_10,남산의 부장들,,,직접입력,#,
2020,TOP_10,남산의 부장들,,,직접입력,#,
2020,TOP_10,다만 악에서 구하소서,,,직접입력,#,
2020,TOP_10,다만 악에서 구하소서,,,직접입력,#,
2020,TOP_10,다만 악에서 구하소서,,,직접입력,#,
2020,TOP_10,반도,,,직접입력,#,
2020,TOP_10,반도,,,직접입력,#,
2020,TOP_10,반도,,,직접입력,#,
2020,TOP_10,히트맨,,,직접입력,#,
2020,TOP_10,히트맨,,,직접입력,#,
2020,TOP_10,히트맨,,,직접입력,#,
2020,TOP_10,테넷,,,직접입력,#,
2020,TOP_10,테넷,,,직접입력,#,
2020,TOP_10,테넷,,,직접입력,#,
2020,TOP_10,백두산,,,직접입력,#,
2020,TOP_10,백두산,,,직접입력,#,
2020,TOP_10,백두산,,,직접입력,#,
2020,TOP_10,#살아있다,,,직접입력,#,
2020,TOP_10,#살아있다,,,직접입력,#,
2020,TOP_10,#살아있다,,,직접입력,#,
2020,TOP_10,강철비2: 정상회담,,,직접입력,#,
2020,TOP_10,강철비2: 정상회담,,,직접입력,#,
2020,TOP_10,강철비2: 정상회담,,,직접입력,#,
2020,TOP_10,담보,,,직접입력,#,
2020,TOP_10,담보,,,직접입력,#,
2020,TOP_10,담보,,,직접입력,#,
2020,TOP_10,닥터 두리틀,,,직접입력,#,
2020,TOP_10,닥터 두리틀,,,직접입력,#,
2020,TOP_10,닥터 두리틀,,,직접입력,#,
2020,BOTTOM_10,나의 첫 번째 슈퍼스타,,,직접입력,#,
2020,BOTTOM_10,나의 첫 번째 슈퍼스타,,,직접입력,#,
2020,BOTTOM_10,나의 첫 번째 슈퍼스타,,,직접입력,#,
2020,BOTTOM_10,프리키 데스데이,,,직접입력,#,
2020,BOTTOM_10,프리키 데스데이,,,직접입력,#,
2020,BOTTOM_10,프리키 데스데이,,,직접입력,#,
2020,BOTTOM_10,아웃포스트,,,직접입력,#,
2020,BOTTOM_10,아웃포스트,,,직접입력,#,
2020,BOTTOM_10,아웃포스트,,,직접입력,#,
2020,BOTTOM_10,스케어리 스토리:어둠의 속삭임,,,직접입력,#,
2020,BOTTOM_10,스케어리 스토리:어둠의 속삭임,,,직접입력,#,
2020,BOTTOM_10,스케어리 스토리:어둠의 속삭임,,,직접입력,#,
2020,BOTTOM_10,파스로티,,,직접입력,#,
2020,BOTTOM_10,파스로티,,,직접입력,#,
2020,BOTTOM_10,파스로티,,,직접입력,#,
2020,BOTTOM_10,피아니스트의 전설,,,직접입력,#,
2020,BOTTOM_10,피아니스트의 전설,,,직접입력,#,
2020,BOTTOM_10,피아니스트의 전설,,,직접입력,#,
2020,BOTTOM_10,아이즈 온 미 : 더 무비,,,직접입력,#,
2020,BOTTOM_10,아이즈 온 미 : 더 무비,,,직접입력,#,
2020,BOTTOM_10,아이즈 온 미 : 더 무비,,,직접입력,#,
2020,BOTTOM_10,야구소녀,,,직접입력,#,
2020,BOTTOM_10,야구소녀,,,직접입력,#,
2020,BOTTOM_10,야구소녀,,,직접입력,#,
2020,BOTTOM_10,애프터: 그 후,,,직접입력,#,
2020,BOTTOM_10,애프터: 그 후,,,직접입력,#,
2020,BOTTOM_10,애프터: 그 후,,,직접입력,#,
2015,TOP_10,베테랑,,,직접입력,#,
2015,TOP_10,베테랑,,,직접입력,#,
2015,TOP_10,베테랑,,,직접입력,#,
2015,TOP_10,암살,,,직접입력,#,
2015,TOP_10,암살,,,직접입력,#,
2015,TOP_10,암살,,,직접입력,#,
2015,TOP_10,어벤져스: 에이지 오브 울트론,,,직접입력,#,
2015,TOP_10,어벤져스: 에이지 오브 울트론,,,직접입력,#,
2015,TOP_10,어벤져스: 에이지 오브 울트론,,,직접입력,#,
2015,TOP_10,국제시장,,,직접입력,#,
2015,TOP_10,국제시장,,,직접입력,#,
2015,TOP_10,국제시장,,,직접입력,#,
2015,TOP_10,내부자들,,,직접입력,#,
2015,TOP_10,내부자들,,,직접입력,#,
2015,TOP_10,내부자들,,,직접입력,#,
2015,TOP_10,사도,,,직접입력,#,
2015,TOP_10,사도,,,직접입력,#,
2015,TOP_10,사도,,,직접입력,#,
2015,TOP_10,미션 임파서블: 로그네이션,,,직접입력,#,
2015,TOP_10,미션 임파서블: 로그네이션,,,직접입력,#,
2015,TOP_10,미션 임파서블: 로그네이션,,,직접입력,#,
2015,TOP_10,킹스맨 : 시크릿 에이전트,,,직접입력,#,
2015,TOP_10,킹스맨 : 시크릿 에이전트,,,직접입력,#,
2015,TOP_10,킹스맨 : 시크릿 에이전트,,,직접입력,#,
2015,TOP_10,연평해전,,,직접입력,#,
2015,TOP_10,연평해전,,,직접입력,#,
2015,TOP_10,연평해전,,,직접입력,#,
2015,TOP_10,쥬라기 월드,,,직접입력,#,
2015,TOP_10,쥬라기 월드,,,직접입력,#,
2015,TOP_10,쥬라기 월드,,,직접입력,#,
2010,TOP_10,아바타,,,직접입력,#,
2010,TOP_10,아바타,,,직접입력,#,
2010,TOP_10,아바타,,,직접입력,#,
2010,TOP_10,아저씨,,,직접입력,#,
2010,TOP_10,아저씨,,,직접입력,#,
2010,TOP_10,아저씨,,,직접입력,#,
2010,TOP_10,인셉션,,,직접입력,#,
2010,TOP_10,인셉션,,,직접입력,#,
2010,TOP_10,인셉션,,,직접입력,#,
2010,TOP_10,의형제,,,직접입력,#,
2010,TOP_10,의형제,,,직접입력,#,
2010,TOP_10,의형제,,,직접입력,#,
2010,TOP_10,아이언맨 2,,,직접입력,#,
2010,TOP_10,아이언맨 2,,,직접입력,#,
2010,TOP_10,아이언맨 2,,,직접입력,#,
2010,TOP_10,전우치,,,직접입력,#,
2010,TOP_10,전우치,,,직접입력,#,
2010,TOP_10,전우치,,,직접입력,#,
2010,TOP_10,이끼,,,직접입력,#,
2010,TOP_10,이끼,,,직접입력,#,
2010,TOP_10,이끼,,,직접입력,#,
2010,TOP_10,포화속으로,,,직접입력,#,
2010,TOP_10,포화속으로,,,직접입력,#,
2010,TOP_10,포화속으로,,,직접입력,#,
2010,TOP_10,하모니,,,직접입력,#,
2010,TOP_10,하모니,,,직접입력,#,
2010,TOP_10,하모니,,,직접입력,#,
2010,TOP_10,방자전,,,직접입력,#,
2010,TOP_10,방자전,,,직접입력,#,
2010,TOP_10,방자전,,,직접입력,#,
2000,TOP_10,공동경비구역 JSA,,,직접입력,#,
2000,TOP_10,공동경비구역 JSA,,,직접입력,#,
2000,TOP_10,공동경비구역 JSA,,,직접입력,#,
2000,TOP_10,글래디에이터,,,직접입력,#,
2000,TOP_10,글래디에이터,,,직접입력,#,
2000,TOP_10,글래디에이터,,,직접입력,#,
2000,TOP_10,미션 임파서블 2,,,직접입력,#,
2000,TOP_10,미션 임파서블 2,,,직접입력,#,
2000,TOP_10,미션 임파서블 2,,,직접입력,#,
2000,TOP_10,반칙왕,,,직접입력,#,
2000,TOP_10,반칙왕,,,직접입력,#,
2000,TOP_10,반칙왕,,,직접입력,#,
2000,TOP_10,비천무,,,직접입력,#,
2000,TOP_10,비천무,,,직접입력,#,
2000,TOP_10,비천무,,,직접입력,#,
2000,TOP_10,다이너소어,,,직접입력,#,
2000,TOP_10,다이너소어,,,직접입력,#,
2000,TOP_10,다이너소어,,,직접입력,#,
2000,TOP_10,단적비연수,,,직접입력,#,
2000,TOP_10,단적비연수,,,직접입력,#,
2000,TOP_10,단적비연수,,,직접입력,#,
2000,TOP_10,퍼펙트 스톰,,,직접입력,#,
2000,TOP_10,퍼펙트 스톰,,,직접입력,#,
2000,TOP_10,퍼펙트 스톰,,,직접입력,#,
2000,TOP_10,리베라메,,,직접입력,#,
2000,TOP_10,리베라메,,,직접입력,#,
2000,TOP_10,리베라메,,,직접입력,#,
2000,TOP_10,미녀삼총사,,,직접입력,#,
2000,TOP_10,미녀삼총사,,,직접입력,#,
2000,TOP_10,미녀삼총사,,,직접입력,#,
